"Fromid","relationship_type","toid"
"0","Announce","0"
"0","Announce","3"
"0","Announce","10"
"0","Announce","61"
"0","Announce","67"
"0","Announce","90"
"0","Announce","91"
"0","Announce","100"
"0","Announce","114"
"0","Announce","141"
"0","Announce","185"
"0","Announce","286"
"0","Announce","348"
"0","Announce","352"
"0","Announce","370"
"0","Announce","371"
"0","Announce","387"
"0","Announce","483"
"0","Announce","497"
"0","Announce","520"
"0","Announce","548"
"0","Announce","577"
"0","Announce","608"
"0","Announce","680"
"0","Announce","686"
"0","Announce","690"
"0","Announce","716"
"0","Announce","745"
"0","Announce","746"
"0","Announce","755"
"0","Announce","796"
"0","Announce","847"
"0","Announce","906"
"0","Announce","941"
"0","Announce","1000"
"0","Announce","1001"
"0","Announce","1014"
"0","Announce","1132"
"0","Announce","1143"
"0","Announce","1154"
"0","Announce","1252"
"0","Announce","1338"
"0","Announce","1347"
"0","Announce","1364"
"0","Announce","1382"
"0","Announce","1420"
"0","Announce","1435"
"0","Announce","1578"
"0","Announce","1596"
"0","Announce","1600"
"0","Announce","1679"
"0","Announce","1766"
"0","Announce","1771"
"0","Announce","1844"
"0","Announce","1851"
"0","Announce","1873"
"0","Announce","1887"
"0","Announce","1950"
"0","Announce","1982"
"0","Announce","2045"
"0","Announce","2063"
"0","Announce","2088"
"0","Announce","2150"
"0","Announce","2151"
"0","Announce","2172"
"0","Announce","2176"
"0","Announce","2218"
"0","Announce","2266"
"0","Announce","2351"
"0","Announce","2356"
"0","Announce","2436"
"0","Announce","2456"
"0","Announce","2463"
"0","Announce","2526"
"0","Announce","2598"
"0","Announce","2612"
"0","Announce","2613"
"0","Announce","2644"
"0","Announce","2652"
"0","Announce","2670"
"0","Announce","2676"
"0","Announce","2843"
"0","Announce","2917"
"0","Announce","2921"
"0","Announce","2935"
"0","Announce","2952"
"0","Announce","3122"
"0","Announce","3144"
"0","Announce","3242"
"0","Announce","3275"
"0","Announce","3322"
"0","Announce","3390"
"0","Announce","3499"
"0","Announce","3555"
"0","Announce","3573"
"0","Announce","3621"
"0","Announce","3641"
"0","Announce","3659"
"0","Announce","3686"
"0","Announce","3715"
"0","Announce","3720"
"0","Announce","3776"
"0","Announce","3848"
"0","Announce","3887"
"0","Announce","3889"
"0","Announce","3903"
"0","Announce","3942"
"0","Announce","4103"
"0","Announce","4126"
"0","Announce","4167"
"0","Announce","4240"
"0","Announce","4262"
"0","Announce","4283"
"0","Announce","4292"
"0","Announce","4394"
"0","Announce","4668"
"0","Announce","4707"
"0","Announce","4742"
"0","Announce","4880"
"0","Announce","5033"
"0","Announce","5061"
"0","Announce","5094"
"0","Announce","5095"
"0","Announce","5104"
"0","Announce","5129"
"0","Announce","5172"
"0","Announce","5208"
"0","Announce","5234"
"0","Announce","5397"
"0","Announce","5512"
"0","Announce","5631"
"0","Announce","5834"
"0","Announce","5851"
"0","Announce","5902"
"0","Announce","6115"
"0","Announce","6148"
"0","Announce","6167"
"0","Announce","6361"
"0","Announce","6362"
"0","Announce","6403"
"0","Announce","6461"
"0","Announce","6541"
"0","Announce","6580"
"0","Announce","6598"
"0","Announce","6662"
"0","Announce","6885"
"0","Announce","6984"
"0","Announce","7212"
"0","Announce","7268"
"0","Announce","7352"
"0","Announce","7486"
"0","Announce","7567"
"0","Announce","7881"
"0","Announce","8015"
"0","Announce","8166"
"0","Announce","8545"
"0","Announce","8716"
"0","Announce","8843"
"0","Announce","8988"
"0","Announce","9117"
"0","Announce","9298"
"0","Announce","9322"
"0","Announce","9449"
"0","Announce","9504"
"0","Announce","9582"
"0","Announce","9698"
"0","Announce","9882"
"0","Announce","9908"
"0","Announce","9967"
"0","Announce","10405"
"0","Announce","10428"
"0","Announce","10460"
"0","Announce","10587"
"0","Announce","10731"
"0","Announce","10880"
"0","Announce","11145"
"0","Announce","11147"
"0","Announce","11291"
"0","Announce","11305"
"0","Announce","11484"
"0","Announce","11558"
"0","Announce","11851"
"0","Announce","11861"
"0","Announce","12072"
"0","Announce","12139"
"0","Announce","12318"
"0","Announce","12659"
"0","Announce","12723"
"0","Announce","12761"
"0","Announce","12784"
"0","Announce","12785"
"0","Announce","13042"
"0","Announce","13096"
"0","Announce","13122"
"0","Announce","13349"
"0","Announce","13426"
"0","Control","0"
"0","Control","1"
"0","Control","2"
"0","Control","3"
"0","Control","6"
"0","Control","7"
"0","Control","10"
"0","Control","11"
"0","Control","12"
"0","Control","13"
"0","Control","14"
"0","Control","15"
"0","Control","19"
"0","Control","20"
"0","Control","21"
"0","Control","22"
"0","Control","23"
"0","Control","25"
"0","Control","26"
"0","Control","27"
"0","Control","28"
"0","Control","29"
"0","Control","32"
"0","Control","33"
"0","Control","41"
"0","Control","48"
"0","Control","49"
"0","Control","51"
"0","Control","52"
"0","Control","54"
"0","Control","55"
"0","Control","61"
"0","Control","64"
"0","Control","65"
"0","Control","67"
"0","Control","69"
"0","Control","76"
"0","Control","85"
"0","Control","90"
"0","Control","91"
"0","Control","93"
"0","Control","98"
"0","Control","105"
"0","Control","108"
"0","Control","111"
"0","Control","114"
"0","Control","120"
"0","Control","121"
"0","Control","124"
"0","Control","129"
"0","Control","143"
"0","Control","145"
"0","Control","146"
"0","Control","149"
"0","Control","155"
"0","Control","159"
"0","Control","160"
"0","Control","165"
"0","Control","175"
"0","Control","181"
"0","Control","182"
"0","Control","185"
"0","Control","188"
"0","Control","190"
"0","Control","193"
"0","Control","194"
"0","Control","197"
"0","Control","201"
"0","Control","211"
"0","Control","224"
"0","Control","228"
"0","Control","230"
"0","Control","231"
"0","Control","232"
"0","Control","234"
"0","Control","237"
"0","Control","254"
"0","Control","255"
"0","Control","256"
"0","Control","258"
"0","Control","270"
"0","Control","282"
"0","Control","285"
"0","Control","286"
"0","Control","291"
"0","Control","310"
"0","Control","313"
"0","Control","320"
"0","Control","326"
"0","Control","336"
"0","Control","346"
"0","Control","356"
"0","Control","361"
"0","Control","365"
"0","Control","370"
"0","Control","371"
"0","Control","376"
"0","Control","386"
"0","Control","413"
"0","Control","414"
"0","Control","422"
"0","Control","439"
"0","Control","444"
"0","Control","445"
"0","Control","449"
"0","Control","456"
"0","Control","463"
"0","Control","472"
"0","Control","474"
"0","Control","476"
"0","Control","483"
"0","Control","497"
